"gene","logFC","logCPM","PValue","FDR"
"BICC1|80114",1.93344349892458,2.22222657529998,4.54982702219347e-20,6.14585844866292e-18
"ADAMTS2|9509",1.91177769678707,4.05909303764393,4.77931717912268e-20,6.39971349924436e-18
"LOX|4015",1.74247206421881,5.47403681715366,5.49784806739384e-20,7.29839330946532e-18
"ITGA5|3678",1.1280047292794,6.21610844960191,5.55669860429233e-20,7.31347023995706e-18
"NBL1|4681",1.40461116157995,7.17395484317234,6.82188251132851e-20,8.90255667728371e-18
"MRC2|9902",1.20853733266609,7.10080172399796,6.92813382084807e-20,8.96523804262516e-18
"OGN|4969",2.90773868238599,3.56644654466443,8.05487720543374e-20,1.03364211738728e-17
"LDB2|9079",1.12216886751678,3.17310502120351,8.47951271690829e-20,1.0791406308072e-17
"AGTR1|185",2.28333088872661,0.103542872698155,8.85031358649332e-20,1.11709818785583e-17
"ITGA11|22801",1.96975604999108,5.37266775432468,9.58996663137702e-20,1.20061704192337e-17
"LATS2|26524",0.912679276509352,4.59549312491231,1.01419850274557e-19,1.2594873180467e-17
"MAGEL2|54551",2.40338384002714,0.882150577240058,1.08422692454091e-19,1.33568083288044e-17
"CCDC80|151887",1.745444232023,6.62744699526521,1.11830274073649e-19,1.36672570671439e-17
"SERPINE1|5054",2.07731920804298,6.66463447010828,1.218956959795e-19,1.47800930896718e-17
"CYR61|3491",1.66205004068394,7.39918827260745,1.27542468052948e-19,1.53439567620887e-17
"CTGF|1490",1.74897531671124,7.90481809209124,1.40350750343328e-19,1.67024779035696e-17
"P4HA3|283208",1.69948363210893,1.23964395636337,1.41004099452175e-19,1.67024779035696e-17
"HMCN1|83872",1.62027463881823,4.23406520648589,1.48795692047034e-19,1.749087680788e-17
"SRPX2|27286",1.37468429157271,3.36300433809303,1.62704958787552e-19,1.8981012578557e-17
"BEAN|146227",1.67566964183847,0.75477064541337,1.78469911085427e-19,2.06635951940188e-17
"GLI3|2737",1.62029042956729,5.09866097548773,2.09773388167025e-19,2.41067194357017e-17
